dt_abertura,pk_data
30/07/2010,4815
10/11/1970,18199
24/04/2003,4824
28/05/1980,17258
09/02/2012,4829
14/02/2005,4833
25/05/1992,13868
24/10/2008,14670
05/10/1987,19511
14/08/1969,15039
22/12/2009,15097
14/11/1973,4852
06/01/2006,4855
04/08/1982,19627
12/02/1996,4859
06/04/2010,4861
30/06/2009,4863
21/03/1994,4866
11/08/1983,4868
30/03/1992,16152
16/10/1996,4873
24/03/1988,4875
30/09/1997,4877
20/05/1997,4880
11/08/1997,4883
20/02/1975,4885
10/06/1988,17489
21/11/2006,7795
15/06/2011,9113
30/08/2010,4896
12/12/2008,4898
25/08/2009,4901
16/08/1978,4904
30/03/1988,4907
16/10/1986,18197
17/10/1975,11962
09/01/1973,4914
30/12/1986,18368
07/06/2001,4918
06/06/1972,18482
28/11/2002,4923
15/07/1982,18790
03/05/1993,4928
12/01/2006,13761
01/03/2006,14614
02/01/1992,4934
05/02/1981,4936
31/10/1983,4940
13/01/2011,4943
09/12/1997,14926
11/09/1992,4947
20/05/2010,4949
17/09/1997,15009
20/04/1983,15035
29/01/1990,19566
22/11/1988,4957
13/12/1985,4960
04/09/2006,15135
13/04/1983,4964
08/05/2012,4966
14/11/2007,4968
26/08/2002,4970
16/09/2010,4972
24/03/2008,4974
30/11/1994,4976
12/06/1990,16445
04/07/2001,20200
09/02/1988,13035
02/06/1992,17110
23/04/2004,4986
03/05/2000,8556
28/05/1974,17211
07/12/2006,5966
28/06/2010,6499
07/12/1966,17439
05/04/2010,4998
16/12/2010,7651
14/05/2009,5002
22/12/2008,9486
01/06/2012,5006
17/11/2009,9172
09/10/1992,9591
01/12/2009,5011
16/08/2006,5014
18/05/2007,10241
03/09/1999,5018
21/11/1983,18048
08/07/2004,14969
11/07/2006,14236
19/02/2004,5026
23/08/1996,5028
25/09/1987,11419
15/12/2004,18195
11/01/1982,5035
11/04/2011,5037
05/05/2011,5039
18/09/2000,5041
03/01/2002,5043
16/04/1992,5045
06/09/2005,13658
23/06/1994,18431
04/08/2003,12959
20/09/2010,5053
22/03/2006,5055
05/02/1997,5057
16/09/2011,13050
30/12/1993,5061
24/11/2011,5063
14/05/1998,5065
20/05/1986,13441
17/07/1995,16039
05/01/2006,5071
11/08/2011,13641
13/12/1979,18807
31/01/1973,5077
08/02/2008,5079
28/05/2007,5081
10/01/2008,5083
20/10/2006,5085
04/08/2006,5087
20/03/2012,5089
05/08/1981,19016
27/10/2006,5093
23/06/1988,5095
03/05/1988,5097
15/02/2007,5099
07/11/2011,5102
27/09/1979,19073
05/05/1987,19178
01/03/2008,14057
01/11/1992,19310
30/09/2011,5112
14/01/1977,19414
05/01/1988,19430
28/06/1988,5118
24/11/1986,19825
13/07/2010,5122
19/02/2002,5124
28/06/2000,5126
31/12/2010,16195
30/03/1995,5130
25/08/2005,16230
11/04/2007,20041
12/03/1987,20095
29/03/2010,5138
11/10/1985,16399
17/04/2012,5143
04/04/1979,20169
29/11/1994,16543
30/01/2002,16595
01/06/1970,5151
23/06/2011,5154
29/08/1974,20235
11/12/2007,14938
05/07/2012,5159
14/02/1989,17078
19/09/2011,5163
06/04/1993,5165
12/11/2008,5167
17/03/2005,17106
27/01/2000,5171
24/12/1981,17140
09/10/1980,17144
24/01/2011,5610
17/03/2004,17152
14/09/2012,5183
08/03/2010,5819
23/12/2011,5187
28/06/2011,5189
03/06/1991,5191
19/01/1977,17223
12/11/1986,5912
29/05/2007,5964
29/06/1981,17232
09/07/2007,5201
27/11/1979,16818
07/11/1986,17271
18/07/2001,5206
23/11/2009,5208
29/06/2009,5210
12/03/2002,17420
31/01/1996,5214
18/08/1993,5216
25/06/2012,6782
31/10/2002,6954
06/10/2012,16215
22/10/1976,17476
03/02/1993,10473
30/08/1988,17556
29/03/1973,17564
25/01/2008,7618
06/09/1966,5233
07/11/1985,5235
22/12/1998,7836
21/08/1986,11205
12/12/2007,9929
06/08/1999,8467
22/08/1994,10799
13/10/1980,17772
29/07/2010,8622
15/06/2010,8853
12/08/1977,5253
05/01/2009,8957
12/03/1986,17818
27/09/1994,8971
24/03/2005,5261
14/11/1990,17836
19/08/1991,5265
25/07/1977,5267
25/07/2001,5269
15/09/2010,9291
21/09/1988,17866
26/03/2001,5275
25/02/1986,5277
07/12/2000,16359
07/07/1989,14167
06/12/1982,17922
17/10/1994,5285
04/08/1995,5287
30/10/2003,5289
13/09/2012,5291
17/09/2010,5293
17/09/2012,5295
23/07/2010,11307
31/08/2005,5299
30/09/1966,11459
01/08/2012,5303
27/10/1999,5305
16/01/1999,5307
22/04/1992,18201
11/07/1996,11579
22/04/1998,5314
05/10/2004,5317
15/08/2007,11842
07/08/1984,11958
26/05/1998,14911
06/04/2006,14948
20/04/1999,12364
02/10/2012,5330
14/08/2002,5332
28/12/1984,5335
30/08/2012,5337
22/01/2001,5339
12/11/1987,18378
09/01/1976,18392
15/04/1997,12609
20/05/1993,5347
01/07/1982,18405
25/10/2004,18414
28/10/2009,13627
19/03/2011,5354
13/04/2009,5356
19/05/2003,12719
13/09/2000,5361
18/08/1987,5363
29/11/1993,12939
17/06/1974,5367
22/07/2003,5369
26/06/2001,5371
28/12/2009,5373
28/02/1984,18522
05/07/2007,5377
12/12/1973,18538
05/03/1993,5381
06/05/2010,5383
10/11/1999,5385
10/11/1983,5387
12/09/1996,5390
22/01/2004,16013
13/09/2001,5395
29/12/1987,15397
16/11/1979,18597
22/03/1989,5400
03/09/1981,18633
18/08/2004,13328
01/07/2010,5406
13/10/1994,5408
17/08/1990,5410
06/03/2008,13445
17/12/2001,5414
13/12/1990,18698
29/08/2001,5418
16/04/2010,5420
18/09/2012,13548
27/12/1982,13562
21/01/2002,5426
27/05/2010,5428
02/06/2005,13634
17/01/1979,18755
25/05/1990,15091
11/12/1972,18782
03/09/1991,5438
31/07/2009,13656
12/07/2004,5442
19/10/2006,13702
14/04/1980,18799
04/07/1989,5448
30/05/2012,5450
01/08/1997,5452
01/03/2011,5454
03/03/1994,13913
26/10/1988,18928
18/09/1997,13965
05/04/1995,19059
24/05/1999,14205
01/08/2007,19071
15/04/1996,5468
31/10/2007,5470
22/08/1991,19098
10/01/1978,19127
17/12/1986,19141
01/10/1973,19168
11/05/2009,5481
26/08/2009,5483
25/03/2009,5485
27/02/1992,19211
18/08/1997,19220
08/03/2006,14327
10/11/2003,14423
11/11/2009,9333
03/03/2008,5496
28/01/1994,19287
12/04/2007,5500
17/02/2012,5502
21/01/1992,19332
12/02/1998,5506
10/04/1990,15005
05/02/1991,19380
18/07/1997,19075
09/12/1993,19149
22/12/1987,5514
06/02/2009,5516
04/03/2002,5518
31/07/2008,5520
20/09/1996,5522
06/09/1996,5524
30/10/1992,5526
19/08/2002,5528
02/12/1987,5530
04/11/2005,5532
31/07/1980,17130
10/05/2001,14580
21/01/1994,5537
06/01/2003,5539
19/02/1997,14647
20/03/1998,14654
27/10/2009,14658
30/09/2005,5547
08/11/2004,14675
30/01/1998,5552
24/06/2008,5555
26/08/1997,14749
04/09/2012,14801
21/03/2003,15781
09/04/2008,5563
15/07/2006,5565
03/08/1983,19486
29/03/2005,5569
31/01/2007,5571
09/01/1979,14839
18/04/1985,19509
23/09/1966,19544
17/10/2008,14936
09/12/1996,5581
11/05/2000,8442
03/10/1995,5584
05/10/1982,18583
26/04/1996,5587
11/06/1990,19702
21/05/1990,15298
12/08/1998,15333
26/08/1996,5596
17/05/2001,5598
15/04/2003,15370
05/05/2010,15441
06/05/2003,19724
09/05/1972,15998
14/03/2011,5608
29/03/2006,15475
10/06/2011,5612
11/02/2010,5020
07/02/1977,19758
19/02/1992,19783
18/11/2008,5619
05/06/1974,16418
13/05/2005,15487
16/07/2012,5243
11/06/1968,15498
12/02/2001,15531
28/09/2009,5629
29/11/2000,15558
15/01/1997,15568
02/07/2012,5633
01/02/1995,5636
27/07/1998,5638
05/04/1997,5640
31/01/1984,17159
06/02/1998,15588
20/04/2012,5645
13/02/1995,15620
04/02/2011,15656
06/01/2012,5650
20/08/2004,15704
17/06/1992,5654
13/02/2007,5656
21/05/2009,5658
05/01/2007,15714
01/06/2004,5662
18/01/1980,15736
21/08/2001,15770
01/09/2010,5668
05/01/2010,5670
25/01/1988,17681
27/10/2011,5673
26/10/2011,5675
25/03/1997,19893
07/02/2000,5678
05/01/1979,15056
18/06/2004,16069
01/12/2003,7493
