nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,"-23,5505199","-46,6333094",4812
RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,"-14,7809311","-39,2636",4818
AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,"-16,2806113","-48,9319839",4823
RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,"-23,0864185","-46,9770708",4826
RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,"-22,8492135","-43,2540858",4828
ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,"-27,0337085","-49,3872519",4830
AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433882","-40,3875092",4835
RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,"-26,6109126","-49,0091505",4838
RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,"-22,8525901","-47,1565107",4841
AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,"-19,9120148","-43,9711978",4845
AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,"-23,5505199","-46,6333094",4848
PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,"-19,8909944","-43,9523488",4851
RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,"-29,6963563","-53,844565",4854
RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,"-7,1882638","-39,7376748",4856
LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,"-26,1117326","-49,8065079",4858
RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,"-8,1138885","-35,2915134",4860
RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,"-23,6001428","-46,6763564",4862
AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,"-18,908382","-48,270572",4865
AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,"-23,541913","-46,7788579",4867
RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,"-21,1900316","-49,580999",4869
RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,"-28,1322847","-55,0223579",4871
RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,"-26,2993337","-48,844535",4874
ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,"-29,8744377","-50,9984135",4876
RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,"-23,5702953","-46,6197298",4879
RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,"-21,5368229","-42,6413579",4882
LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,"-27,4872075","-50,9728528",4884
RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,"-20,3137737","-40,2941848",4887
RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,"-22,9249284","-43,3431213",4890
LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,"-24,8569233","-54,3334256",4893
RUA MIGUEL GLINKA,,24716072,JARDIM CATARINA,SAO GONCALO,RJ,"-22,7853052","-43,0051048",4895
VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,"-20,4780031","-49,7779205",4897
RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,"-22,0268377","-47,8934375",4900
RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,"-19,6284156","-43,220858",4902
AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,"-23,6911701","-46,5606889",4906
AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,"-23,5714458","-46,697283",4909
RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,"-5,2887251","-36,7603816",4911
AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,"-29,4589733","-51,9673123",4913
RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,"-11,7946561","-37,9435616",4915
RUA OLAVO BILAC,1,77890000,CENTRO,ANANAS,TO,"-6,3685511","-48,0697669",4917
RUA EGEO BENTO FRATICCELI,311,06550000,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,SP,"-23,3969772","-46,9995522",4919
RUA ROXO MOREIRA,76,13083590,CIDADE UNIVERSITARIA,CAMPINAS,SP,"-22,812618","-47,0761302",4922
RUA PINHEIROS,72,09692020,PAULICEIA,SAO BERNARDO DO CAMPO,SP,"-23,6698174","-46,5853564",4925
AVENIDA SAO PAULO,503,19840000,CENTRO,MARACAI,SP,"-22,6105462","-50,6671498",4927
FAZENDA SAO JOSE,SN,19804355,AGUA DO MELCHIOR,ASSIS,SP,"-22,6606373","-50,404369",4929
SITIO MURICI,16,55000000,MURICI,CARUARU,PE,"-8,2849639","-35,9701874",4931
RUA JAGUARI,723,90820180,SANTA TEREZA,PORTO ALEGRE,RS,"-30,0875704","-51,2356869",4933
RUA JOSE NICOLINI,8,35235000,NICOLANDIA,RESPLENDOR,MG,"-19,3244066","-41,2513767",4935
RODOVIA BR 376,3475,86975000,PARQUE INDUSTRIAL,MANDAGUARI,PR,"-23,5259717","-51,6790774",4938
AVENIDA ADOLFO PINHEIRO,3520,04734003,SANTO AMARO,SAO PAULO,SP,"-23,6317575","-46,6913253",4942
AVENIDA F A,150,76970000,SAO FILIPE,PIMENTA BUENO,RO,"-11,6821425","-61,1765191",4944
RODOVIA BR 163,SN,79440000,ZONA RURAL,JARAGUARI,MS,"-20,7683924","-54,5282522",4946
RUA SAPOPEMBA,14B,02859140,JARDIM VITORIA REGIA ZONA NORTE,SAO PAULO,SP,"-23,4383937","-46,7079522",4948
AVENIDA DA PENHA,570,29055131,PRAIA DO CANTO,VITORIA,ES,"-20,3058891","-40,2963769",4950
SITIO SAO JOSE,SN,18230000,BOA VISTA,SAO MIGUEL ARCANJO,SP,"-23,8888022","-47,9811739",4952
AVENIDA JOAO PEREIRA DE VARGAS,2884,93230210,NOVA SAPUCAIA,SAPUCAIA DO SUL,RS,"-29,8450304","-51,1373736",4954
RUA RADIALISTA M SOBRINHO,95,30001970,CEU AZUL II,BELO HORIZONTE,MG,"-19,8122294","-44,0050075",4956
RUA CARDEAL STEPINAC,592,31170220,CIDADE NOVA,BELO HORIZONTE,MG,"-19,8868188","-43,924144",4959
AVENIDA ITABERABA,3623,02739000,VILA MARACANA,SAO PAULO,SP,"-23,4778099","-46,6820484",4961
RUA CORONEL MUNDICO SA,222,64500000,CENTRO,OEIRAS,PI,"-7,0136487","-42,1322099",4963
RUA DONA ZULMIRA,498,90830240,CAVALHADA,PORTO ALEGRE,RS,"-30,0956211","-51,2272425",4965
RUA ALVARES AZEVEDO,190,04671040,VILA SOFIA,SAO PAULO,SP,"-23,657769","-46,693659",4967
RUA LUIZ VIANA,5,45265000,CENTRO,CAETANOS,BA,"-14,3354678","-40,9046493",4969
RUA RICARDO EMILIO MICHEL,66,81250610,CIDADE INDUSTRIAL,CURITIBA,PR,"-25,4876981","-49,3406071",4971
AVENIDA DAS BANDEIRAS,806,79081310,JARDIM NHANHA,CAMPO GRANDE,MS,"-20,4798635","-54,6215663",4973
RUA VITORINO BACELAR,223,89300000,CENTRO,MAFRA,SC,"-26,1117326","-49,8065079",4975
ESTRADA BENEDITO CESARIO DE OLIVEIRA,588,06767280,VILA IASI,TABOAO DA SERRA,SP,"-23,6214512","-46,7888221",4977
RUA 6,SN,74633400,VILA OSVALDO ROSA,GOIANIA,GO,"-16,6591068","-49,278129",4979
RUA CUSTODIO NASCIMENTO,20,08380059,JARDIM ROSELI,SAO PAULO,SP,"-23,5948436","-46,4432643",4981
TRECHO PORTUGUES,39,35300068,CENTRO,CARATINGA,MG,"-19,7896207","-42,1415419",4983
AVENIDA ITABERABA,5107,02739000,VILA N CACHOEIRINHA,SAO PAULO,SP,"-23,474187","-46,6693958",4985
RUA DEDI BARICHELLO MONTAGNER,SN,85660000,CENTRO NORTE,DOIS VIZINHOS,PR,"-25,7464549","-53,0615734",4987
RUA GETULIO VARGAS,SN,58770000,CENTRO,COREMAS,PB,"-7,0190869","-37,9440765",4989
RUA COMENDADOR ANTONIO ALVES,704,33600970,CENTRO,PEDRO LEOPOLDO,MG,"-19,6213368","-44,0415215",4991
RUA XV DE NOVEMBRO,51,16880000,CENTRO,VALPARAISO,SP,"-21,2254231","-50,8683504",4993
AVENIDA DA SAUDADE,32,13150000,CHACARA HORIZONTE,COSMOPOLIS,SP,"-22,6482084","-47,1886192",4995
RODOVIA SC 405,112,88065000,CAMPECHE,FLORIANOPOLIS,SC,"-27,6619842","-48,501835",4997
RUA DO RUSSEL,SN,74942470,JARDIM BURITI SERENO,APARECIDA DE GOIANIA,GO,"-16,820257","-49,2473044",4999
RUA ALVES DE BRITO,141,88015440,CENTRO,FLORIANOPOLIS,SC,"-27,5859254","-48,5471612",5001
PRACA DOUTOR GAMA,476,16200003,CENTRO,BIRIGUI,SP,"-21,28913","-50,34124",5003
RUA ALEIXO RODRIGUES DE QUEIROZ,840,75115010,VILA INDUSTRIAL,ANAPOLIS,GO,"-16,328546","-48,953403",5005
FAZENDA MARACUJA,SN,35500970,AREA RURAL,DIVINOPOLIS,MG,"-20,1451261","-44,8916447",5007
RUA GRACIOSA FABRO,114,95055065,DIAMANTINO,CAXIAS DO SUL,RS,"-29,1557242","-51,1393047",5009
RUA PEROLINA ARAUJO,166,49890000,CENTRO,NOSSA SENHORA DE LOURDES,SE,"-10,0776488","-37,0570297",5010
SITIO MONTE AZUL,SN,16640000,DUAS PONTES,BALBINOS,SP,"-21,8967699","-49,3623695",5013
RUA ALBINO B GABRIL,227,04727030,VILA CRUZEIRO,SAO PAULO,SP,"-23,6427249","-46,7134267",5015
RUA APOL SATHLER,86,35040060,SANTA RITA,GOVERNADOR VALADARES,MG,"-18,8549317","-41,9559233",5017
SITIO SAO BENEDITO,SN,19880000,AGUA DO FOGO,CANDIDO MOTA,SP,"-22,7466667","-50,3880476",5019
RUA ANTONIO LOSSO,972,85055310,CONRADINHO,GUARAPUAVA,PR,"-25,3695058","-51,4636864",5021
RUA LONDRES,450,03731030,VILA LONDRINA,SAO PAULO,SP,"-23,5107859","-46,5360225",5022
RUA HEITOR PENTEADO,1759,05437000,SUMAREZINHO,SAO PAULO,SP,"-23,5438399","-46,6943593",5025
RUA DESEMBARGADOR MOTTA,2308,80420190,CENTRO,CURITIBA,PR,"-25,435128","-49,2829662",5027
AVENIDA DO AGRICULTOR,SN,46470000,SAO FELIX,RIACHO DE SANTANA,BA,"-13,6063873","-42,9400663",5030
PRACA GAGO COUTINHO,SN,41510045,SAO CRISTOVAO,SALVADOR,BA,"-12,9141607","-38,336459",5032
RUA DOUTOR ATALIBA LEONEL,225,18740000,CENTRO,TAQUARITUBA,SP,"-23,5334414","-49,2439031",5034
AVENIDA DOUTOR VITAL BRASIL,1108,05503000,BUTANTA,SAO PAULO,SP,"-23,5688671","-46,7147589",5036
RUA MANUEL DE MACEDO,386,14030560,JARDIM PIRATININGA,RIBEIRAO PRETO,SP,"-21,1830653","-47,8363908",5038
