cd_ramo_atividade,de_ramo_atividade,pk_ramo_atividade
1093701,AGENCIAS MATRIMONIAIS,1
5914600,"ARTES CENICAS, ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE",2432
7319003,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,5
8230001,MARKETING DIRETO,7
9609202,"SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS",9
4530706,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS",11
0810006,COMERCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,1070
4613300,REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES,13
4221905,MANUTENCAO DE ESTACOES E REDES DE TELECOMUNICACOES,817
4681805,COMERCIO ATACADISTA DE LUBRIFICANTES,2158
8020001,ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE,3373
7739002,"COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS",3485
8532500,ENSINO FUNDAMENTAL,4305
4789099,"LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES",800
4520003,SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES,19
4781400,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,2270
4321500,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,2650
4772500,"COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS",2630
5223100,"SERVICOS DE LAVAGEM, LUBRIFICACAO E POLIMENTO DE VEICULOS AUTOMOTORES",2413
4619200,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO",2050
4754702,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,2192
6422100,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL",26
4789001,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,4156
0990403,EXTRACAO DE GEMAS PEDRAS PRECIOSAS E SEMIPRECIOSAS,4154
7912100,MARKETING DIRETO,2529
3832700,RECUPERACAO DE SUCATAS DE ALUMINIO,2401
9491000,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,31
4213800,MONTAGEM DE ESTRUTURAS METALICAS,4299
7420001,CONSULTORIA EM PUBLICIDADE,3581
4330402,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,4079
7732201,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,4030
1529700,COMERCIO VAREJISTA DE BEBIDAS,2696
4615000,COMERCIO ATACADISTA DE MOVEIS E ARTIGOS DE COLCHOARIA,3515
3831999,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,4482
3314702,INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS,4090
4713001,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",1563
8219999,COMERCIO VAREJISTA DE LIVROS,3382
4930203,LOCACAO DE AUTOMOVEIS SEM CONDUTOR,3958
9602501,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",2613
6810203,LOTEAMENTO DE IMOVEIS PROPRIOS,3729
8599699,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,3886
7490104,HOLDINGS DE INSTITUICOES NAOFINANCEIRAS,2943
4322303,COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO,3913
3311200,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,2321
7420003,LABORATORIOS FOTOGRAFICOS,44
6010100,INSTALACAO E MANUTENCAO ELETRICA,3158
2062200,FABRICACAO DE PRODUTOS DE LIMPEZA E POLIMENTO,2274
