vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,faixas_veiculos,pk_veiculos
,,,,4813
,0,3,0 a 5,10324
,0,30,16 a 30,17327
,0,5,0 a 5,9571
,0,1,0 a 5,5360
2,4,23,16 a 30,13175
,3,15,16 a 30,13503
,3,2,0 a 5,15344
,0,0,0 a 5,6133
,0,2,0 a 5,5323
,3,3,6 a 10,12535
,0,4,0 a 5,12421
,5,1,6 a 10,12603
,5,2,6 a 10,9898
,0,12,11 a 15,9456
,0,11,11 a 15,7555
,0,7,6 a 10,12085
,0,9,6 a 10,7956
,0,10,6 a 10,11576
,5,0,0 a 5,5907
2,0,1,0 a 5,9260
,4,4,6 a 10,13573
,2,5,6 a 10,6576
,2,7,6 a 10,7276
,2,11,11 a 15,13285
,2,2,0 a 5,11473
,2,1,0 a 5,4939
,2,0,0 a 5,4872
,2,3,0 a 5,7524
,2,6,6 a 10,7053
,2,201,>50,15837
,4,13,16 a 30,11955
3,1,12,11 a 15,16126
,3,0,0 a 5,5313
,3,1,0 a 5,6367
5,0,9,6 a 10,15072
,4,8,11 a 15,13974
,4,1,0 a 5,9746
,4,0,0 a 5,4903
,4,3,6 a 10,6413
,4,2,6 a 10,11704
,0,6,6 a 10,13157
,23,10,31 a 50,12059
,9,0,6 a 10,18275
,9,7,16 a 30,11396
,23,6,16 a 30,12646
,29,7,31 a 50,11339
0,,,,9838
,8,0,6 a 10,10087
,10,10,16 a 30,9121
,8,7,11 a 15,12613
,9,5,11 a 15,13344
,1,4,0 a 5,14717
,21,0,16 a 30,14913
9,3,21,16 a 30,6406
8,0,11,11 a 15,8942
,67,0,>50,13496
,5,6,11 a 15,6606
,12,1,11 a 15,15965
,12,14,16 a 30,12948
,54,23,>50,13394
,16,2,16 a 30,15930
,25,14,31 a 50,13881
,20,76,>50,10059
,14,2,16 a 30,7468
,6,0,6 a 10,10663
,20,8,16 a 30,6240
,7,0,6 a 10,6179
,5,26,31 a 50,12552
,7,1,6 a 10,16124
,14,1,11 a 15,14359
,6,1,6 a 10,8136
,25,0,16 a 30,9075
,10,0,6 a 10,11147
,10,5,11 a 15,10161
,11,25,31 a 50,15844
2,0,5,0 a 5,14184
,6,11,16 a 30,9336
,6,3,6 a 10,14986
,11,0,11 a 15,8364
2,0,8,6 a 10,14546
,11,2,11 a 15,16466
,12,6,16 a 30,15674
,1,16,16 a 30,8388
,1,2,0 a 5,5793
,1,5,6 a 10,12641
,1,6,6 a 10,14928
,1,3,0 a 5,5316
,1,1,0 a 5,6478
,1,0,0 a 5,4831
