pk_ramo_atividade,pk_ordem,CNAE_2digitos,cd_cnpj
1,2,10,12305448000100
3,4,47,12305448000100
5,6,73,12305448000100
7,8,82,12305448000100
9,10,96,12305448000100
11,2,45,14180365000150
12,4,45,14180365000150
13,6,46,14180365000150
14,2,47,05610297000120
15,2,96,15044857000180
3,2,47,15028623000140
16,4,93,15028623000140
17,2,45,07297742000170
18,4,45,07297742000170
19,6,45,07297742000170
20,8,45,07297742000170
21,10,45,07297742000170
22,2,47,15291845000150
23,4,47,15291845000150
24,2,14,15090404000190
25,4,14,15090404000190
26,2,64,90400888251650
27,2,45,12254288000100
28,4,45,12254288000100
29,2,46,04226709000160
30,2,94,16679748000100
31,4,94,16679748000100
32,6,94,16679748000100
33,8,94,16679748000100
34,2,42,07793444000170
35,4,43,07793444000170
36,2,47,03220549000180
37,4,47,03220549000180
30,2,94,01687525000100
38,4,94,01687525000100
39,6,94,01687525000100
22,2,47,11772974000100
14,4,47,11772974000100
23,6,47,11772974000100
40,2,82,05850538000290
3,2,47,86396371000150
41,2,45,52792652000100
42,2,94,15818386000110
43,2,45,01498181000190
44,2,74,80495856000700
45,2,47,02186486000120
46,2,47,65070146000230
46,2,47,02053352000130
47,2,02,06319255001170
48,4,02,06319255001170
49,6,02,06319255001170
50,8,02,06319255001170
51,2,69,10886199000150
52,2,78,12019359000190
53,4,81,12019359000190
54,2,43,06216178000150
55,4,43,06216178000150
56,2,43,12459122000120
57,4,47,12459122000120
58,6,47,12459122000120
59,8,61,12459122000120
60,10,95,12459122000120
61,2,01,10532571000120
62,2,86,11163415000100
63,4,86,11163415000100
64,6,86,11163415000100
65,8,87,11163415000100
66,2,94,20963351002230
30,2,94,55055743000150
38,4,94,55055743000150
39,6,94,55055743000150
67,2,59,11199599000150
68,4,59,11199599000150
69,6,59,11199599000150
70,8,77,11199599000150
71,10,82,11199599000150
72,2,47,09445384000120
3,4,47,09445384000120
73,6,96,09445384000120
74,2,69,87301180000120
75,2,68,08739568000130
76,2,47,04500550000120
77,2,47,12810402000130
78,4,47,12810402000130
79,2,71,05410317000110
80,2,82,12223579000130
81,2,47,96617865000170
82,2,01,08047579000150
83,4,01,08047579000150
35,2,43,12690066000130
84,4,43,12690066000130
85,6,43,12690066000130
86,8,43,12690066000130
87,10,62,12690066000130
81,2,47,94409778000100
88,2,69,21081120000130
89,2,31,77687663000150
90,4,47,77687663000150
91,6,49,77687663000150
22,2,47,13103110000120
92,2,46,84630474000450
93,2,46,37224847000160
94,4,46,37224847000160
95,6,46,37224847000160
15,2,96,11971190000100
96,2,66,07244034000170
97,2,01,12121605000110
98,4,01,12121605000110
99,2,45,12708033000170
100,4,45,12708033000170
101,6,45,12708033000170
66,2,94,62955505281310
102,2,63,21614193000140
103,4,74,21614193000140
104,6,74,21614193000140
105,8,74,21614193000140
106,10,82,21614193000140
