pk_localizacao,pk_veiculos,pk_optante,pk_data,pk_juridica,pk_caract_empresas,cd_cnpj,nm_razao_social,qt_filial,vl_total_veiculos
4812,4813,4814,4815,4816,4817,12305448000100,GIOVANNA SOUZA DE LIMA DATE MEI,0,0
4818,4813,4819,4820,4821,4822,14180365000150,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,0,0
4823,4813,4819,4824,4821,4825,05610297000120,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,0,0
4826,4813,4814,4827,4816,4822,15044857000180,MARIA GILVANIA DE AQUINO MEI,0,0
4828,4813,4814,4829,4816,4822,15028623000140,DEBORA PINHEIRO DA SILVA MEI,0,0
4830,4831,4832,4833,4816,4834,07297742000170,MAURO ODELLI ME,0,1
4835,4813,4832,4836,4821,4837,15291845000150,COMERCIO FASHION BIJU LTDA ME,0,0
4838,4813,4832,4839,4821,4840,15090404000190,CONFECCOES BG LTDA ME,0,0
4841,4813,4819,4842,4843,4844,90400888251650,BANCO SANTANDER BRASIL SA,0,0
4845,4813,4819,4846,4821,4847,12254288000100,CASA DO GOL LTDA ME,0,0
4848,4813,4819,4849,4821,4850,04226709000160,COMERCIAL M&M YAMASHITA LTDA ME,0,0
4851,4813,4819,4852,4853,4840,16679748000100,GRUPO CIENTIFICO RAMATIS,10,0
4854,4813,4819,4855,4821,4822,07793444000170,KAUS & KAUS LTDA,0,0
4856,4813,4832,4857,4816,4840,03220549000180,ROMERIO RODRIGUES LEITE ME,0,0
4858,4813,4819,4859,4853,4850,01687525000100,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,0,0
4860,4813,4832,4861,4816,4837,11772974000100,G MARIA DE AMORIM ME,0,0
4862,4813,4819,4863,4821,4864,05850538000290,TECOPY COPIADORA LTDA ME,0,0
4865,4813,4832,4866,4821,4840,86396371000150,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,1,0
4867,4813,4819,4868,4821,4822,52792652000100,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,0,0
4869,4813,4819,4870,4853,4825,15818386000110,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,0,0
4871,4872,4832,4873,4821,4840,01498181000190,COMERCIAL DE PNEUS WENDT LTDA ME,0,2
4874,4813,4819,4875,4821,4864,80495856000700,RPS FOTOGRAFIAS LTDA ME,0,0
4876,4813,4832,4877,4816,4878,02186486000120,MOACIR LUIZ DA SILVA VARGAS ME,0,0
4879,4813,4819,4880,4821,4881,65070146000230,BAR E LANCHONETE PAYSAGE LTDA ME,0,0
4882,4813,4819,4883,4821,4847,02053352000130,AGILIS MOTOCICLE LTDA,0,0
4884,4813,4819,4885,4821,4886,06319255001170,PG DOIS AGRICOLA COMERCIAL LTDA,0,0
4887,4813,4832,4888,4889,4840,10886199000150,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,0,0
4890,4813,4819,4891,4892,4822,12019359000190,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,0,0
4893,4813,4819,4894,4821,4850,06216178000150,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,0,0
4895,4813,4814,4896,4816,4817,12459122000120,RICARDO JOSE DA ROCHA MEI,0,0
4897,4813,4819,4898,4899,4822,10532571000120,SAULO FERNANDO GATO SCRIBONI,0,0
4900,4813,4819,4901,4821,4837,11163415000100,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,0,0
4902,4903,4819,4904,4905,4886,20963351002230,DIOCESE DE ITABIRA,0,4
4906,4813,4819,4907,4853,4908,55055743000150,CONDOMINIO ABC SHOPPING CENTER,0,0
4909,4813,4832,4910,4821,4817,11199599000150,LUSCO FUSCO FILMES EPP LTDA,0,0
4911,4903,4832,4912,4816,4840,09445384000120,S DE SENA FERREIRA ME,3,4
4913,4813,4819,4914,4816,4847,87301180000120,ELIAR HOFSTATTER ME,0,0
